Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%)
Routenpunkt (Way);T;Anne-Frank-Straße;49.847974;8.6209177;30.0;;;;;;Original OSM;124.0;-0.88
Haltestelle;W;Darmstadt Anne-Frank-Straße;49.847974;8.6209177;30.0;25:52:00;25:52:00;Kein Umlauf;Unbekannt;133.0;Original GTFS (Snap-Distanz 3m) | Auf Route gesnappt (3m);124.0;-0.77
Routenpunkt (Way);T;Anne-Frank-Straße;49.84796576666667;8.620843666666666;;;;;;;Original OSM;123.86;-0.76
Routenpunkt (Way);T;Anne-Frank-Straße;49.8477744;8.6210059;30.0;;;;;;Original OSM;123.75;-0.88
Routenpunkt (Way);T;Anne-Frank-Straße;49.8476752;8.621049;30.0;;;;;;Interpoliert;123.67;-1.06
Routenpunkt (Way);T;Anne-Frank-Straße;49.847576;8.6210921;30.0;;;;;;Interpoliert;123.6;-0.67
Routenpunkt (Way);T;Anne-Frank-Straße;49.8474768;8.6211352;30.0;;;;;;Original OSM;123.5;-0.73
Routenpunkt (Way);T;Anne-Frank-Straße;49.84735525;8.62118835;30.0;;;;;;Original OSM;123.4;-0.79
Routenpunkt (Way);T;Anne-Frank-Straße;49.8472438;8.62123715;30.0;;;;;;Interpoliert;123.3;-0.85
Routenpunkt (Way);T;Anne-Frank-Straße;49.847156;8.6212756;30.0;;;;;;Original OSM;123.2;-0.85
Routenpunkt (Way);T;Anne-Frank-Straße;49.8470582;8.6213184;30.0;;;;;;Interpoliert;123.1;-0.71
Routenpunkt (Way);T;Anne-Frank-Straße;49.8469604;8.6213612;30.0;;;;;;Original OSM;123.0;-0.55
Routenpunkt (Way);T;Anne-Frank-Straße;49.8468597;8.6214053;30.0;;;;;;Original OSM;123.0;-0.35
Routenpunkt (Way);T;Anne-Frank-Straße;49.8467588;8.6214495;30.0;;;;;;Original OSM;123.0;-0.18
Routenpunkt (Way);T;Anne-Frank-Straße;49.84666633333334;8.621489966666667;30.0;;;;;;Interpoliert;123.0;0.0
Routenpunkt (Way);T;Anne-Frank-Straße;49.84657386666667;8.621530433333334;30.0;;;;;;Interpoliert;123.0;0.32
Routenpunkt (Way);T;Anne-Frank-Straße;49.8463804;8.6216249625;30.0;;;;;;Original OSM;123.0;0.61
Routenpunkt (Way);T;Klausenburger Straße;49.8463463;8.6217936;30.0;;;;;;Original OSM;123.2;0.9
Routenpunkt (Way);T;Klausenburger Straße;49.84638182;8.621976160000001;30.0;;;;;;Interpoliert;123.4;1.19
Routenpunkt (Way);T;Klausenburger Straße;49.84641734;8.62215872;30.0;;;;;;Interpoliert;123.6;1.49
Routenpunkt (Way);T;Klausenburger Straße;49.84645286;8.62234128;30.0;;;;;;Interpoliert;123.8;1.76
Routenpunkt (Way);T;Klausenburger Straße;49.84648838;8.62252384;30.0;;;;;;Interpoliert;124.0;1.96
Routenpunkt (Way);T;Klausenburger Straße;49.8465239;8.6227064;30.0;;;;;;Original OSM;124.4;2.17
Routenpunkt (Way);T;Klausenburger Straße;49.84655615;8.622865525;30.0;;;;;;Interpoliert;124.7;2.38
Routenpunkt (Way);T;Klausenburger Straße;49.8465884;8.623024650000001;30.0;;;;;;Interpoliert;125.0;2.59
Routenpunkt (Way);T;Klausenburger Straße;49.846620650000006;8.623183775000001;30.0;;;;;;Interpoliert;125.3;2.08
Routenpunkt (Way);T;Klausenburger Straße;49.8466529;8.6233429;30.0;;;;;;Original OSM;125.6;1.84
Routenpunkt (Way);T;Klausenburger Straße;49.84672760833333;8.623705708333333;30.0;;;;;;Original OSM;125.7;1.71
Routenpunkt (Way);T;Klausenburger Straße;49.84675675;8.623913525;;;;;;;Interpoliert;125.9;7.84
Routenpunkt (Way);T;Klausenburger Straße;49.8467847;8.6240561;;;;;;;Original OSM;126.1;7.92
Haltestelle;W;Darmstadt Klausenburger Straße;49.8467795;8.6240585;;25:54:00;25:54:00;Kein Umlauf;Unbekannt;133.0;Original GTFS (Snap-Distanz 3m) | Auf Route gesnappt (3m);126.3;7.85
Routenpunkt (Way);T;Klausenburger Straße;49.84682975;8.6241154;30.0;;;;;;Interpoliert;126.5;7.91
